2023-01-13T15:02:11+00:00 INFO Start-Cartflows_Admin_Report_Emails::send_weekly_report_email
2023-01-13T15:02:11+00:00 INFO Send weekly emails to aminjavan22478@gmail.com
2023-01-13T15:02:11+00:00 INFO Total Revenue: 0.00
2023-01-13T15:02:31+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:02:44+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:02:54+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:04:15+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:04:16+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:05:14+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:05:47+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:06:01+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:06:02+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:06:04+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:06:13+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:06:48+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:06:51+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:07:02+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:07:13+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:07:46+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:08:01+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:08:02+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:08:59+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:09:26+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:09:26+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:10:03+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:12:28+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:12:28+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:13:06+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:13:08+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:13:25+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:13:25+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:13:34+00:00 INFO Is weekly report enabled: enable
2023-01-13T15:13:39+00:00 INFO Is weekly report enabled: enable
